judge,artist,album,vote
E13,邓小巧,No Coincidence,0
E13,Gong Gong Gong 工工工,Phantom Rhythm 幽灵节奏,1
E13,威神V WayV,Take Off (The 1st Mini Album),0
E13,谢安琪/麦浚龙,The Album And The Rest Of It,0
E13,粉红A,为艺术牺牲,0
E13,丢莱卡,健忘的平原,2
E13,全家福合唱团,全家福II,0
E13,养鸡,养鸡的梦境,0
E13,小老虎,北京吗,1
E13,张雄关,危险地带,1
E13,宫阁,即将上映,0
E13,傻子与白痴,夜长梦少,1
E13,Howie Lee,天地不仁,2
E13,吴青峰,太空人,0
E13,许哲佩,失物之城,0
E13,丁世光,实况电影,0
E13,周华健,少年,0
E13,莫宰羊,幻想曲,0
E13,倒车入库,庸人自扰,2
E13,Ice Paper,成语接龙,0
E13,梁静茹,我好吗? - 太阳如常升起,0
E13,家家,我想要的,0
E13,短裤里的诗歌,我还喜欢你,2
E13,许廷铿,拾,1
E13,鬼卞,无间,0
E13,刘柏辛,无限意识Meta Ego,0
E13,鲁向卉,时间/木马,0
E13,AR刘夫阳,校园寓言故事,0
E13,熊仔/豹子胆,梦想成真,0
E13,橘子海,浪潮上岸,1
E13,苏紫旭,混乱之子,4
E13,脏手指,滥情三部曲,1
E13,百合花,烧金蕉,1
E13,王若琳,爱的呼唤,3
E13,郑宜农,给天王星,2
E13,邱比,至繁,3
E13,发光曲线,荒野星,2
E13,魏如萱,藏着并不等于遗忘,4
E13,伍佰&China Blue,让水倒流,3
E13,杨乃文,越美丽越看不见,2
E13,郁可唯,路过人间,1
E13,群星,过春天 电影原声碟,1
E13,懒惰致富集团,飞艇计划,0
E13,陈蕾,1029,0
E14,佛跳墙,BJ肆,0
E14,Robynn & Kendy,Curations,0
E14,吉克隽逸,Global Citizen世界公民Ⅲ,0
E14,陈珊妮,Juvenile A,0
E14,缺省,Life In A Vacuum,0
E14,小尘埃,Little By Little,0
E14,邓小巧,No Coincidence,0
E14,Gong Gong Gong 工工工,Phantom Rhythm 幽灵节奏,2
E14,威神V WayV,Take Off (The 1st Mini Album),0
E14,谢安琪/麦浚龙,The Album And The Rest Of It,2
E14,粉红A,为艺术牺牲,3
E14,丢莱卡,健忘的平原,1
E14,全家福合唱团,全家福II,0
E14,养鸡,养鸡的梦境,0
E14,小老虎,北京吗,0
E14,张雄关,危险地带,0
E14,宫阁,即将上映,0
E14,傻子与白痴,夜长梦少,1
E14,Howie Lee,天地不仁,2
E14,吴青峰,太空人,2
E14,许哲佩,失物之城,2
E14,丁世光,实况电影,2
E14,周华健,少年,0
E14,莫宰羊,幻想曲,0
E14,倒车入库,庸人自扰,2
E14,Ice Paper,成语接龙,0
E14,梁静茹,我好吗? - 太阳如常升起,0
E14,家家,我想要的,0
